image_id,source,bbox_count,stratify_group,fold
060543bbf,ethz_1,58,ethz_1_2,1
060740e25,arvalis_1,42,arvalis_1_2,2
060c572e4,ethz_1,71,ethz_1_3,2
060fd0cd8,ethz_1,71,ethz_1_3,0
06152e5bf,rres_1,36,rres_1_1,0
0679b8bab,ethz_1,63,ethz_1_3,3
06812a4fc,arvalis_1,47,arvalis_1_2,3
069719eab,ethz_1,60,ethz_1_3,0
06a78c36e,arvalis_1,65,arvalis_1_3,1
06b42df4e,arvalis_1,24,arvalis_1_1,4
06fdd4941,arvalis_1,49,arvalis_1_2,4
073d83544,arvalis_1,57,arvalis_1_2,1
07479da31,arvalis_3,19,arvalis_3_0,4
077ba8cca,ethz_1,72,ethz_1_3,0
077c0bddb,arvalis_3,48,arvalis_3_2,0
0785826af,arvalis_3,10,arvalis_3_0,2
0787635a2,arvalis_2,7,arvalis_2_0,1
078d5b8b9,arvalis_1,36,arvalis_1_1,1
07a4d2b9e,rres_1,48,rres_1_2,1
07d6634c4,ethz_1,65,ethz_1_3,2
07dc460bc,ethz_1,59,ethz_1_2,2
07ebc6045,rres_1,68,rres_1_3,4
07f519e11,ethz_1,63,ethz_1_3,1
08568d66f,arvalis_1,58,arvalis_1_2,2
085d0d511,rres_1,36,rres_1_1,4
086349fe8,arvalis_3,54,arvalis_3_2,0
086b6a39d,inrae_1,27,inrae_1_1,4
0874422e6,usask_1,40,usask_1_2,2
0877092cc,ethz_1,78,ethz_1_3,4
088d3df51,arvalis_3,52,arvalis_3_2,2
08a55ca8a,arvalis_1,33,arvalis_1_1,1
08a65db34,rres_1,53,rres_1_2,4
08aa26ac1,rres_1,51,rres_1_2,4
08dd31605,arvalis_1,42,arvalis_1_2,0
0923194d6,arvalis_1,37,arvalis_1_1,3
09539e132,arvalis_3,31,arvalis_3_1,4
09798007b,arvalis_3,17,arvalis_3_0,2
097af10ac,usask_1,30,usask_1_1,3
0980aa079,arvalis_1,54,arvalis_1_2,2
0989b2627,ethz_1,62,ethz_1_3,4
099c4c2b9,arvalis_1,54,arvalis_1_2,4
09b2de97e,arvalis_1,52,arvalis_1_2,4
09b4141a6,arvalis_3,48,arvalis_3_2,4
09ba65605,ethz_1,54,ethz_1_2,3
09bcc5259,arvalis_1,57,arvalis_1_2,1
09d50b59d,ethz_1,56,ethz_1_2,2
09eb21d04,arvalis_3,3,arvalis_3_0,2
09f97e0cf,rres_1,51,rres_1_2,1
0a029eead,usask_1,30,usask_1_1,3
0a10cd864,arvalis_2,12,arvalis_2_0,4
0a181bbb4,arvalis_1,32,arvalis_1_1,2
0a3cb453f,ethz_1,67,ethz_1_3,2
0a3ff84a7,inrae_1,20,inrae_1_1,1
0a4408b37,usask_1,35,usask_1_1,4
0a4dc77c7,inrae_1,15,inrae_1_0,1
0a7338e6f,ethz_1,59,ethz_1_2,1
0a73f8a0f,arvalis_2,23,arvalis_2_1,4
0a97d54ae,arvalis_1,29,arvalis_1_1,2
0a9f24bdc,arvalis_1,40,arvalis_1_2,4
0abbdee70,arvalis_3,12,arvalis_3_0,3
0abc443ae,inrae_1,21,inrae_1_1,1
0adcb2a1a,ethz_1,58,ethz_1_2,2
0aef2f67e,ethz_1,70,ethz_1_3,1
0afdb91a2,ethz_1,60,ethz_1_3,3
0b2967a7a,arvalis_3,54,arvalis_3_2,1
0b47876ec,arvalis_1,44,arvalis_1_2,2
0b5b60131,arvalis_1,48,arvalis_1_2,3
0b7712f7a,arvalis_3,63,arvalis_3_3,2
0b9624bd4,arvalis_1,46,arvalis_1_2,3
0ba2166af,arvalis_1,33,arvalis_1_1,4
0bb1adbd8,arvalis_3,30,arvalis_3_1,0
0bb98c55d,arvalis_1,26,arvalis_1_1,2
0bbb17b82,arvalis_1,57,arvalis_1_2,4
0bbcbab79,inrae_1,22,inrae_1_1,2
0bff84dd0,ethz_1,74,ethz_1_3,1
0c06dde5b,arvalis_1,88,arvalis_1_4,4
0c264c98e,rres_1,20,rres_1_1,2
0c2d20111,rres_1,54,rres_1_2,2
0c3d9007c,usask_1,19,usask_1_0,0
0c7af1841,arvalis_1,31,arvalis_1_1,3
0ca276259,arvalis_1,35,arvalis_1_1,0
0ca410614,arvalis_2,23,arvalis_2_1,2
0cbb43d45,arvalis_3,37,arvalis_3_1,1
0cbcaf240,inrae_1,14,inrae_1_0,3
0cbe3f32c,ethz_1,70,ethz_1_3,3
0cca0ffc8,inrae_1,21,inrae_1_1,0
0ce3a22a3,arvalis_3,29,arvalis_3_1,3
0d08bc31f,arvalis_3,11,arvalis_3_0,1
0d2948e6d,arvalis_1,35,arvalis_1_1,3
0d2e2b65b,arvalis_1,55,arvalis_1_2,2
0d3bd5eac,arvalis_1,31,arvalis_1_1,4
0d4128a74,arvalis_1,34,arvalis_1_1,0
0d5525a7b,usask_1,14,usask_1_0,1
0d7268752,arvalis_3,69,arvalis_3_3,2
0d82ef017,ethz_1,54,ethz_1_2,2
0da996869,usask_1,18,usask_1_0,4
0dbfcf802,ethz_1,83,ethz_1_4,4
0dc2de69d,arvalis_2,13,arvalis_2_0,0
0dc9eb168,arvalis_3,63,arvalis_3_3,0
0dd534f81,inrae_1,29,inrae_1_1,4
0df7f89c3,ethz_1,78,ethz_1_3,0
0e0809a3d,arvalis_2,20,arvalis_2_1,3
0e0a0483e,arvalis_1,45,arvalis_1_2,3
0e0e3b0b9,ethz_1,79,ethz_1_3,2
0e2be222f,arvalis_3,5,arvalis_3_0,2
0e3074735,arvalis_3,17,arvalis_3_0,2
0e8557b27,arvalis_1,41,arvalis_1_2,2
0e86615d0,rres_1,51,rres_1_2,4
0e90d45c6,arvalis_1,31,arvalis_1_1,2
0eab04c31,arvalis_1,31,arvalis_1_1,2
0eab1baab,rres_1,51,rres_1_2,4
0ebac9a23,arvalis_3,62,arvalis_3_3,4
0ee812df9,ethz_1,66,ethz_1_3,1
0eed0a689,arvalis_1,34,arvalis_1_1,1
0f0bb7843,arvalis_2,22,arvalis_2_1,4
0f43bb6d7,arvalis_3,27,arvalis_3_1,1
0f47f54f1,ethz_1,76,ethz_1_3,3
0f4911203,rres_1,44,rres_1_2,0
0f5267442,arvalis_1,32,arvalis_1_1,2
0f9100915,ethz_1,52,ethz_1_2,4
0f9717e87,arvalis_1,56,arvalis_1_2,1
0fb8ec104,rres_1,31,rres_1_1,3
0fcdc222b,arvalis_1,25,arvalis_1_1,4
0fd4ca0d4,arvalis_2,10,arvalis_2_0,1
0fd63ed98,rres_1,45,rres_1_2,1
0ff60b2bc,rres_1,57,rres_1_2,4
108c78542,arvalis_3,20,arvalis_3_1,2
10c2f7946,arvalis_3,9,arvalis_3_0,2
10c433ecf,ethz_1,71,ethz_1_3,1
10e1fb0e8,arvalis_3,29,arvalis_3_1,3
1104e6a0d,arvalis_1,38,arvalis_1_1,0
11182d7ae,rres_1,65,rres_1_3,2
1118ba1b9,arvalis_3,10,arvalis_3_0,2
115d07916,ethz_1,71,ethz_1_3,3
116a6fceb,arvalis_1,33,arvalis_1_1,1
1172e0f0a,usask_1,30,usask_1_1,1
119969932,arvalis_1,34,arvalis_1_1,1
11c916a8a,arvalis_2,26,arvalis_2_1,1
11f24467f,arvalis_1,36,arvalis_1_1,2
124820ed4,rres_1,45,rres_1_2,4
125118d1d,arvalis_3,68,arvalis_3_3,1
12786fe3b,ethz_1,73,ethz_1_3,2
12a15fe77,rres_1,33,rres_1_1,1
12b724773,arvalis_1,49,arvalis_1_2,0
12d014f3e,arvalis_2,21,arvalis_2_1,2
12e8267b0,arvalis_1,36,arvalis_1_1,1
12ef135a7,arvalis_1,43,arvalis_1_2,1
12f742390,arvalis_1,51,arvalis_1_2,2
12fc83edf,arvalis_1,59,arvalis_1_2,4
13050d5e4,arvalis_1,43,arvalis_1_2,1
131708dfd,arvalis_3,52,arvalis_3_2,2
132a92818,ethz_1,72,ethz_1_3,0
13354f036,ethz_1,82,ethz_1_4,4
13358081a,arvalis_3,7,arvalis_3_0,2
13395ae85,rres_1,23,rres_1_1,1
133f92be6,arvalis_1,31,arvalis_1_1,2
134d4a01c,arvalis_1,101,arvalis_1_5,3
1364f7561,arvalis_1,75,arvalis_1_3,2
136b1f936,ethz_1,67,ethz_1_3,2
13973250e,arvalis_3,41,arvalis_3_2,3
13a368f78,usask_1,46,usask_1_2,2
13b0e960a,ethz_1,76,ethz_1_3,1
13c91a4ed,arvalis_3,51,arvalis_3_2,4
13d56dca0,rres_1,63,rres_1_3,2
13f7f0e24,arvalis_2,16,arvalis_2_0,3
140ef3997,arvalis_3,56,arvalis_3_2,4
1436244cc,arvalis_1,56,arvalis_1_2,1
1443b3f7a,rres_1,60,rres_1_3,3
144d57df8,arvalis_1,46,arvalis_1_2,3
144dca605,ethz_1,62,ethz_1_3,1
14716eed5,arvalis_3,2,arvalis_3_0,3
147706d0f,arvalis_1,45,arvalis_1_2,3
147830115,arvalis_1,52,arvalis_1_2,0
14783fc8c,arvalis_3,13,arvalis_3_0,2
1478a32b8,arvalis_1,33,arvalis_1_1,1
1478a43f1,arvalis_1,46,arvalis_1_2,4
148075f03,arvalis_1,64,arvalis_1_3,1
149bbb343,arvalis_1,50,arvalis_1_2,4
14b4ef410,ethz_1,61,ethz_1_3,2
14c66436c,arvalis_1,49,arvalis_1_2,1
14d024cc4,rres_1,53,rres_1_2,2
14d2b1c3a,arvalis_1,48,arvalis_1_2,4
14d856fb1,arvalis_1,41,arvalis_1_2,3
14da8934d,ethz_1,76,ethz_1_3,0
14e9933bb,arvalis_1,39,arvalis_1_1,4
14fd84198,usask_1,22,usask_1_1,0
150cabe75,usask_1,40,usask_1_2,1
15153bb54,rres_1,48,rres_1_2,2
151d24916,arvalis_3,35,arvalis_3_1,4
151f2893a,inrae_1,13,inrae_1_0,4
1523f5ec1,inrae_1,21,inrae_1_1,1
152800a47,arvalis_1,36,arvalis_1_1,2
152d16ce7,ethz_1,78,ethz_1_3,0
15486e5af,rres_1,65,rres_1_3,2
155e8d59d,ethz_1,60,ethz_1_3,4
156282051,inrae_1,13,inrae_1_0,4
1577c6651,arvalis_3,20,arvalis_3_1,4
15babe6dd,rres_1,39,rres_1_1,4
15c025a28,ethz_1,70,ethz_1_3,0
15c21964a,arvalis_1,49,arvalis_1_2,4
15c794bfc,arvalis_3,45,arvalis_3_2,4
15cbc2623,arvalis_1,48,arvalis_1_2,2
15d56204e,inrae_1,17,inrae_1_0,4
15f3f1f01,inrae_1,17,inrae_1_0,1
15feda382,arvalis_1,41,arvalis_1_2,3
160cdf8e1,rres_1,53,rres_1_2,2
161f20a53,rres_1,38,rres_1_1,2
16501f9a1,arvalis_3,42,arvalis_3_2,1
1690036d7,ethz_1,74,ethz_1_3,0
1696dab5e,arvalis_1,32,arvalis_1_1,4
169be79d1,usask_1,28,usask_1_1,4
16a0dc111,rres_1,23,rres_1_1,0
16b77f4c7,arvalis_1,47,arvalis_1_2,3
16d26f266,arvalis_1,35,arvalis_1_1,1
16d922704,arvalis_1,38,arvalis_1_1,0
16daa81b4,ethz_1,74,ethz_1_3,1
16e075fbb,rres_1,27,rres_1_1,4
16e5c6372,arvalis_3,14,arvalis_3_0,3
1708360c3,arvalis_1,47,arvalis_1_2,3
17117532b,ethz_1,83,ethz_1_4,4
1734d7a9f,rres_1,52,rres_1_2,1
174a9e2e7,ethz_1,60,ethz_1_3,1
1762ed306,inrae_1,23,inrae_1_1,2
1772cb764,inrae_1,24,inrae_1_1,3
178d835fd,arvalis_1,40,arvalis_1_2,2
1794c0a24,rres_1,57,rres_1_2,0
17edbcd63,arvalis_3,13,arvalis_3_0,2
17f1fa29e,ethz_1,62,ethz_1_3,3
18059ff19,inrae_1,17,inrae_1_0,3
181637e7b,arvalis_1,44,arvalis_1_2,1
1856c545d,inrae_1,27,inrae_1_1,4
186c66a2c,ethz_1,81,ethz_1_4,4
18be58eb6,arvalis_3,32,arvalis_3_1,3
18cefbf07,ethz_1,72,ethz_1_3,3
18df0fea9,rres_1,63,rres_1_3,4
18e5e064b,arvalis_1,61,arvalis_1_3,4
18f8b24f1,arvalis_3,12,arvalis_3_0,4
1908103f1,arvalis_1,48,arvalis_1_2,3
1909b7c5e,ethz_1,85,ethz_1_4,2
190f2ca1d,ethz_1,76,ethz_1_3,2
1914c04d6,arvalis_3,60,arvalis_3_3,2
19255ce1d,rres_1,26,rres_1_1,1
1946be26b,ethz_1,68,ethz_1_3,3
1951b2916,ethz_1,80,ethz_1_4,1
1964e90f0,arvalis_1,25,arvalis_1_1,4
1970cbf85,arvalis_1,53,arvalis_1_2,1
198df0975,arvalis_3,33,arvalis_3_1,1
199350a76,arvalis_1,53,arvalis_1_2,4
19b035d25,arvalis_1,60,arvalis_1_3,4
19c242397,ethz_1,65,ethz_1_3,0
19cb6b0e3,ethz_1,69,ethz_1_3,3
19cf6f16c,arvalis_1,37,arvalis_1_1,4
19e5ab184,arvalis_2,16,arvalis_2_0,1
19ecc4446,usask_1,35,usask_1_1,2
19f4faf0f,ethz_1,68,ethz_1_3,1
19fd72f8b,arvalis_1,78,arvalis_1_3,4
19fdbeb90,arvalis_1,43,arvalis_1_2,2
1a106f404,arvalis_1,34,arvalis_1_1,0
1a13195b8,usask_1,23,usask_1_1,3
1a394df35,inrae_1,26,inrae_1_1,3
1a39607ca,arvalis_1,44,arvalis_1_2,1
1a62f5908,arvalis_3,32,arvalis_3_1,1
1a6f43e22,arvalis_1,68,arvalis_1_3,2
1a94773a1,rres_1,65,rres_1_3,4
1aa099fd7,ethz_1,69,ethz_1_3,3
1ab041b77,ethz_1,70,ethz_1_3,2
1adb61e33,arvalis_3,33,arvalis_3_1,4
1ae79fd9b,arvalis_3,56,arvalis_3_2,4
1aebf1c4c,usask_1,31,usask_1_1,3
1b10b9fa1,arvalis_1,39,arvalis_1_1,1
1b2a30a59,rres_1,61,rres_1_3,1
1b2b1fe9c,arvalis_1,27,arvalis_1_1,3
1b3376c60,rres_1,55,rres_1_2,4
1b3380c60,arvalis_3,26,arvalis_3_1,4
1b352d5fe,ethz_1,62,ethz_1_3,4
1b399c9a7,arvalis_1,44,arvalis_1_2,0
1b43ca0a6,ethz_1,56,ethz_1_2,2
1b547b682,rres_1,38,rres_1_1,0
1b5e821f9,arvalis_2,24,arvalis_2_1,2
1b99d2fd6,arvalis_2,33,arvalis_2_1,4
1bb0c013a,arvalis_1,26,arvalis_1_1,3
1bc14c658,arvalis_1,56,arvalis_1_2,2
1bcb0e91e,arvalis_2,25,arvalis_2_1,2
1bda74f14,usask_1,28,usask_1_1,2
1be796d9d,arvalis_3,15,arvalis_3_0,4
1bf4fb6e5,ethz_1,65,ethz_1_3,4
1c0155c9c,arvalis_1,55,arvalis_1_2,4
1c2c0786b,rres_1,34,rres_1_1,4
1c3032ee8,arvalis_1,45,arvalis_1_2,2
1c5f25cd1,ethz_1,72,ethz_1_3,3
1c6e42234,arvalis_1,45,arvalis_1_2,0
1c90d23fb,arvalis_3,13,arvalis_3_0,1
1cf002747,ethz_1,80,ethz_1_4,2
1d2950c50,ethz_1,63,ethz_1_3,1
1d2ab0a45,ethz_1,51,ethz_1_2,3
1d54a26d7,inrae_1,28,inrae_1_1,2
1d554c619,rres_1,60,rres_1_3,3
1d74edc1e,rres_1,33,rres_1_1,0
1d7a82a04,ethz_1,90,ethz_1_4,3
1d7d9fda3,arvalis_1,62,arvalis_1_3,4
1da65492e,arvalis_1,28,arvalis_1_1,3
1dbc99ed8,arvalis_1,35,arvalis_1_1,4
1dbd065ce,arvalis_1,34,arvalis_1_1,2
1def04f70,usask_1,21,usask_1_1,1
1e2735260,ethz_1,60,ethz_1_3,4
1e509e544,arvalis_1,31,arvalis_1_1,1
1e58125ec,arvalis_1,30,arvalis_1_1,3
1e6d99635,arvalis_1,57,arvalis_1_2,3
1e92a05ab,ethz_1,58,ethz_1_2,2
1e9ff110c,usask_1,25,usask_1_1,4
1eb2bad31,rres_1,59,rres_1_2,2
1ebc11f19,ethz_1,75,ethz_1_3,3
1ecb85340,ethz_1,57,ethz_1_2,2
1ecc491e7,ethz_1,81,ethz_1_4,1
1ee6b9669,inrae_1,14,inrae_1_0,1
1ef16dab1,arvalis_2,20,arvalis_2_1,1
1f255e0c5,ethz_1,57,ethz_1_2,1
1f2b1a759,arvalis_1,46,arvalis_1_2,1
1f3829014,arvalis_1,53,arvalis_1_2,4
1f387ec08,inrae_1,25,inrae_1_1,0
1f548e2f2,arvalis_2,26,arvalis_2_1,1
1f7600e2c,arvalis_1,50,arvalis_1_2,3
1f9a8abcd,arvalis_1,74,arvalis_1_3,4
1fab6aa6b,ethz_1,57,ethz_1_2,4
1fcc8f8d9,rres_1,56,rres_1_2,3
1fe63a46a,arvalis_1,48,arvalis_1_2,3
1ff3f11c4,arvalis_1,37,arvalis_1_1,2
200b3c316,ethz_1,85,ethz_1_4,1
20331cd3a,ethz_1,62,ethz_1_3,1
203c29f86,arvalis_3,62,arvalis_3_3,3
2041a2d49,arvalis_1,46,arvalis_1_2,3
2051f1446,arvalis_1,37,arvalis_1_1,4
20697ca8f,rres_1,28,rres_1_1,0
2072e9704,arvalis_1,46,arvalis_1_2,3
2073fe7f7,ethz_1,77,ethz_1_3,2
20a86a215,arvalis_1,66,arvalis_1_3,0
20c6725f1,arvalis_1,24,arvalis_1_1,2
20c7cc731,ethz_1,59,ethz_1_2,4
20e9f1548,rres_1,28,rres_1_1,4
20ebdfc4b,arvalis_1,65,arvalis_1_3,0
211487419,ethz_1,48,ethz_1_2,0
21504c374,arvalis_1,41,arvalis_1_2,0
216bba07e,arvalis_1,64,arvalis_1_3,1
217c8fd61,rres_1,48,rres_1_2,2
218338312,arvalis_1,28,arvalis_1_1,1
218a99bee,arvalis_3,34,arvalis_3_1,1
21a9818dd,ethz_1,60,ethz_1_3,0
220488d01,usask_1,18,usask_1_0,2
2204976da,arvalis_2,25,arvalis_2_1,0
224017b57,rres_1,51,rres_1_2,1
2277ae74f,rres_1,54,rres_1_2,4
227971e53,arvalis_2,22,arvalis_2_1,4
228f94f80,arvalis_3,5,arvalis_3_0,1
229716799,rres_1,57,rres_1_2,0
229d8a499,arvalis_3,19,arvalis_3_0,0
22c35fcbf,ethz_1,85,ethz_1_4,4
22c8f2030,inrae_1,23,inrae_1_1,0
22cb24fba,inrae_1,19,inrae_1_0,2
22dccd0b7,rres_1,53,rres_1_2,1
22eabfde5,inrae_1,7,inrae_1_0,3
22f341965,arvalis_3,1,arvalis_3_0,0
233494bf0,ethz_1,72,ethz_1_3,3
233cb8750,arvalis_3,21,arvalis_3_1,2
234cc40aa,arvalis_3,66,arvalis_3_3,1
237051cce,ethz_1,79,ethz_1_3,1
238c6cea4,arvalis_2,19,arvalis_2_0,0
2391f283f,arvalis_3,19,arvalis_3_0,2
23a4b904a,ethz_1,68,ethz_1_3,2
23a6dd55f,ethz_1,68,ethz_1_3,3
23e3b5130,rres_1,45,rres_1_2,0
23e761109,arvalis_3,27,arvalis_3_1,0
23eb6b3d5,arvalis_1,58,arvalis_1_2,4
23f9b6e0f,arvalis_1,50,arvalis_1_2,3
241bbc684,arvalis_1,37,arvalis_1_1,2
2443092e6,arvalis_1,45,arvalis_1_2,2
24646bd61,arvalis_3,36,arvalis_3_1,3
2474376a6,ethz_1,83,ethz_1_4,4
24a832fa5,arvalis_1,32,arvalis_1_1,3
24a90b0dd,rres_1,47,rres_1_2,0
24dda66d6,arvalis_1,41,arvalis_1_2,2
24fb4b33d,arvalis_1,48,arvalis_1_2,4
250233aea,arvalis_3,9,arvalis_3_0,2
250483997,arvalis_1,45,arvalis_1_2,0
251b2ed74,arvalis_1,52,arvalis_1_2,0
251ed33a8,ethz_1,78,ethz_1_3,3
257e96563,arvalis_1,48,arvalis_1_2,2
258c0d943,arvalis_2,13,arvalis_2_0,4
25b347123,arvalis_1,41,arvalis_1_2,0
25b66ccf8,arvalis_1,67,arvalis_1_3,2
25c62465e,arvalis_1,22,arvalis_1_1,0
25cd221bb,ethz_1,74,ethz_1_3,3
25d38ec2c,arvalis_1,46,arvalis_1_2,2
25fcffb8e,ethz_1,80,ethz_1_4,2
26263f228,inrae_1,16,inrae_1_0,1
2629ddf24,inrae_1,19,inrae_1_0,2
2630babc5,arvalis_1,23,arvalis_1_1,0
26373af4b,ethz_1,54,ethz_1_2,3
263daaccf,arvalis_3,4,arvalis_3_0,0
2643476a0,arvalis_1,32,arvalis_1_1,4
2661979ef,rres_1,63,rres_1_3,2
266826a59,ethz_1,64,ethz_1_3,3
2677d9124,arvalis_1,38,arvalis_1_1,4
26871fd54,arvalis_1,26,arvalis_1_1,0
2689d2bb4,ethz_1,79,ethz_1_3,0
269a5f98e,arvalis_2,19,arvalis_2_0,1
26a2693ec,ethz_1,63,ethz_1_3,2
26a991110,ethz_1,77,ethz_1_3,1
26b7c3188,rres_1,32,rres_1_1,0
26c2b1c78,inrae_1,23,inrae_1_1,3
26cfef469,arvalis_1,27,arvalis_1_1,3
26d5c0e4a,arvalis_1,40,arvalis_1_2,0
26d7e7074,arvalis_3,55,arvalis_3_2,1
26eada42f,rres_1,45,rres_1_2,3
26f09dc76,arvalis_3,12,arvalis_3_0,0
2752325a7,ethz_1,84,ethz_1_4,1
277fa7280,arvalis_2,21,arvalis_2_1,4
277fff409,rres_1,73,rres_1_3,4
278038027,rres_1,43,rres_1_2,2
279a356f8,ethz_1,69,ethz_1_3,2
27ab890c9,ethz_1,75,ethz_1_3,1
27bf608b8,arvalis_1,58,arvalis_1_2,4
27da826ad,arvalis_3,15,arvalis_3_0,4
27e4c01d7,ethz_1,78,ethz_1_3,4
27e98fa26,arvalis_1,26,arvalis_1_1,1
27f0a8188,ethz_1,55,ethz_1_2,1
2840176b4,ethz_1,73,ethz_1_3,2
284a79f05,arvalis_1,45,arvalis_1_2,3
286719f2f,arvalis_1,37,arvalis_1_1,1
286af845e,usask_1,22,usask_1_1,0
2889b72ef,arvalis_3,53,arvalis_3_2,4
28b8ba0aa,arvalis_1,34,arvalis_1_1,2
28c948177,arvalis_3,30,arvalis_3_1,2
28d5ba56a,ethz_1,69,ethz_1_3,2
28e0fc5e4,arvalis_3,28,arvalis_3_1,2
28ee29473,rres_1,38,rres_1_1,1
28f619dfe,ethz_1,70,ethz_1_3,3
290ae67be,arvalis_3,19,arvalis_3_0,3
291a9f4c4,ethz_1,68,ethz_1_3,3
291fb66d1,arvalis_2,13,arvalis_2_0,3
292dac626,ethz_1,70,ethz_1_3,0
2934e89a8,arvalis_1,29,arvalis_1_1,4
293a1fd62,arvalis_2,27,arvalis_2_1,0
294cc4475,arvalis_3,3,arvalis_3_0,1
29a85cd12,arvalis_3,53,arvalis_3_2,2
29b48c0a7,ethz_1,43,ethz_1_2,3
29dc6c59a,usask_1,23,usask_1_1,0
29e44e305,usask_1,29,usask_1_1,4
29f09fa58,inrae_1,30,inrae_1_1,0
29f8a1f30,arvalis_1,45,arvalis_1_2,4
29ffadaf3,inrae_1,15,inrae_1_0,2
2a4b71fcc,arvalis_1,37,arvalis_1_1,1
2a5be9325,ethz_1,50,ethz_1_2,0
2aa35dade,rres_1,64,rres_1_3,1
2ac5f9e85,arvalis_3,53,arvalis_3_2,1
2ad7fa68e,arvalis_3,29,arvalis_3_1,0
2adceacda,ethz_1,72,ethz_1_3,1
2ae1f9d88,ethz_1,60,ethz_1_3,4
2ae9c276f,arvalis_1,38,arvalis_1_1,2
2b1986944,arvalis_1,44,arvalis_1_2,3
2b2612efa,ethz_1,68,ethz_1_3,4
2b32a4cc4,arvalis_2,29,arvalis_2_1,3
2b3c77755,rres_1,32,rres_1_1,0
2b45c0165,arvalis_3,39,arvalis_3_1,0
2b5e0f1a2,arvalis_3,50,arvalis_3_2,0
2b7b5621c,arvalis_1,41,arvalis_1_2,0
2b99d68df,arvalis_1,38,arvalis_1_1,0
2bc10136f,arvalis_1,33,arvalis_1_1,0
